region,category,RR,lower95,upper95,exposure_location_days,annual_frequency,I2,tau2
NE,Moderate rain,0.901,0.850,0.955,6194,15.80,12.4,0.0048
NE,Heavy rain,0.943,0.732,1.216,1331,3.40,24.6,0.1679
NE,Storm rain,1.147,0.647,2.034,389,0.99,0.0,0.0000
NC,Moderate rain,0.944,0.878,1.016,3114,11.41,0.0,0.0000
NC,Heavy rain,0.950,0.662,1.364,1119,4.10,74.7,0.5698
NC,Storm rain,1.211,0.770,1.906,197,0.72,8.7,0.1014
NW,Moderate rain,0.863,0.772,0.966,1303,9.44,0.0,0.0000
NW,Heavy rain,0.408,0.261,0.637,138,1.00,0.0,0.0000
NW,Storm rain,1.021,0.436,2.389,5,0.04,Not estimable,Not estimable
EC,Moderate rain,0.996,0.916,1.083,10034,25.60,71.5,0.0457
EC,Heavy rain,0.896,0.758,1.059,3732,9.52,48.6,0.1224
EC,Storm rain,1.021,0.746,1.396,1157,2.95,34.8,0.2302
CC,Moderate rain,0.887,0.638,1.235,320,22.86,82.3,0.0474
CC,Heavy rain,1.051,0.834,1.324,102,7.29,0.0,0.0000
CC,Storm rain,1.295,0.825,2.034,40,2.86,0.0,0.0000
SC,Moderate rain,0.991,0.887,1.108,2788,18.34,47.3,0.0228
SC,Heavy rain,1.151,0.958,1.384,1004,6.61,0.0,0.0000
SC,Storm rain,1.254,0.590,2.665,298,1.96,0.0,0.0000
