population_type,scenario,region,analysis,point_percent,lower95_percent,upper95_percent,interval_definition,storm_only_definition
Total,SSP1-2.6,China,Main HRRD,-7.4237060546875,-111.4031629562378,54.4754638671875,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP1-2.6,NE,Main HRRD,-36.360328674316406,-83.97862434387207,-13.039886474609375,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP1-2.6,NC,Main HRRD,-31.463882446289062,-91.50282096862793,-4.308403015136719,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP1-2.6,NW,Main HRRD,-21.914535522460938,-82.93742752075195,22.999664306640625,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP1-2.6,EC,Main HRRD,-12.646697998046875,-85.86890029907227,24.359512329101562,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP1-2.6,CC,Main HRRD,-26.83184814453125,-144.14201736450195,61.439056396484375,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP1-2.6,SC,Main HRRD,-1.6090927124023438,-131.09246444702148,71.05667114257812,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP1-2.6,China,Storm-only,-11.060721640602338,-101.72044214728294,57.64031012469077,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP1-2.6,NE,Storm-only,-36.36033026622901,-83.97862448353055,-13.039885475594133,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP1-2.6,NC,Storm-only,-31.46388063166748,-91.502821103593,-4.308405687098116,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP1-2.6,NW,Storm-only,-21.91453929680577,-82.93742701533085,22.99966683143326,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP1-2.6,EC,Storm-only,-12.646699747284003,-85.86890056860534,24.359514695823734,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP1-2.6,CC,Storm-only,-30.729243484020913,-96.0837447326876,14.074982577461242,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP1-2.6,SC,Storm-only,-1.1897194280937242,-87.9351100522916,31.05385484138418,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP2-4.5,China,Main HRRD,-4.061767578125,-107.95892667770386,61.27790832519531,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP2-4.5,NE,Main HRRD,-38.708160400390625,-79.82157325744629,-9.000648498535156,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP2-4.5,NC,Main HRRD,-25.122344970703125,-89.44845581054688,14.131355285644531,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP2-4.5,NW,Main HRRD,-19.30841827392578,-80.55146598815918,26.51763916015625,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP2-4.5,EC,Main HRRD,-10.524635314941406,-84.16839694976807,24.2884521484375,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP2-4.5,CC,Main HRRD,-25.728790283203125,-147.9548568725586,64.18002319335938,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
Total,SSP2-4.5,SC,Main HRRD,2.2866973876953125,-125.65700340270996,73.65498352050781,2.5th-97.5th percentiles across paired RR draws and three CWRF climate members,storm rain >=50 mm d-1 in all six regions
